"Intensity","E4","Composition","Points:0","Points:1","Points:2"
1.1825,1.9582,0,-0.27891,1.1956,-1.6434
1.1827,1.9593,0,-0.27891,1.2186,-1.6434
1.182,1.9546,0,-0.27891,1.2416,-1.6434
1.1804,1.9441,0,-0.27891,1.2646,-1.6434
1.1779,1.9277,0,-0.27891,1.2876,-1.6434
1.1745,1.9052,0,-0.27891,1.3105,-1.6434
1.17,1.8765,0,-0.27891,1.3335,-1.6434
1.1645,1.8417,0,-0.27891,1.3565,-1.6434
1.1581,1.8011,0,-0.27891,1.3795,-1.6434
1.1506,1.755,0,-0.27891,1.4025,-1.6434
1.1422,1.7044,0,-0.27891,1.4255,-1.6434
1.133,1.6503,0,-0.27891,1.4485,-1.6434
1.1232,1.594,0,-0.27891,1.4714,-1.6434
1.1131,1.5371,0,-0.27891,1.4944,-1.6434
1.1028,1.4813,0,-0.27891,1.5174,-1.6434
1.0928,1.4282,0,-0.27891,1.5404,-1.6434
1.0833,1.3794,0,-0.27891,1.5634,-1.6434
1.0748,1.3365,0,-0.27891,1.5864,-1.6434
1.0676,1.3008,0,-0.27891,1.6093,-1.6434
1.062,1.2736,0,-0.27891,1.6323,-1.6434
1.0582,1.2558,0,-0.27891,1.6553,-1.6434
1.0566,1.2481,0,-0.27891,1.6783,-1.6434
1.0573,1.2513,0,-0.27891,1.7013,-1.6434
1.0605,1.2664,0,-0.27891,1.7243,-1.6434
1.0662,1.294,0,-0.27891,1.7472,-1.6434
1.0745,1.3342,0,-0.27891,1.7702,-1.6434
1.0848,1.3859,0,-0.27891,1.7932,-1.6434
1.0966,1.4467,0,-0.27891,1.8162,-1.6434
1.1088,1.5121,0,-0.27891,1.8392,-1.6434
1.1205,1.5767,0,-0.27891,1.8622,-1.6434
1.1306,1.6341,0,-0.27891,1.8852,-1.6434
1.1381,1.6778,0,-0.27891,1.9081,-1.6434
1.1422,1.7022,0,-0.27891,1.9311,-1.6434
1.1423,1.703,0,-0.27891,1.9541,-1.6434
1.138,1.6781,0,-0.27891,1.9771,-1.6434
1.1293,1.6277,0,-0.27891,2.0001,-1.6434
1.1163,1.5542,0,-0.27891,2.0231,-1.6434
1.0992,1.4619,0,-0.27891,2.046,-1.6434
1.0788,1.3563,0,-0.27891,2.069,-1.6434
1.0556,1.2437,0,-0.27891,2.092,-1.6434
1.0306,1.1303,0,-0.27891,2.115,-1.6434
1.0049,1.0215,0,-0.27891,2.138,-1.6434
0.97956,0.92208,0,-0.27891,2.161,-1.6434
0.95576,0.8354,0,-0.27891,2.184,-1.6434
0.93466,0.76375,0,-0.27891,2.2069,-1.6434
1.1403,1.6908,0,-0.27891,-1.9073,-1.6204
1.1318,1.6412,0,-0.27891,-1.8843,-1.6204
1.121,1.5799,0,-0.27891,-1.8613,-1.6204
1.1091,1.5141,0,-0.27891,-1.8383,-1.6204
1.0973,1.4508,0,-0.27891,-1.8153,-1.6204
1.0867,1.3961,0,-0.27891,-1.7924,-1.6204
1.0784,1.354,0,-0.27891,-1.7694,-1.6204
1.0728,1.3262,0,-0.27891,-1.7464,-1.6204
1.07,1.3127,0,-0.27891,-1.7234,-1.6204
1.0698,1.3117,0,-0.27891,-1.7004,-1.6204
1.0718,1.3213,0,-0.27891,-1.6774,-1.6204
1.0755,1.3397,0,-0.27891,-1.6544,-1.6204
1.0807,1.3661,0,-0.27891,-1.6315,-1.6204
1.0874,1.4004,0,-0.27891,-1.6085,-1.6204
1.0954,1.4421,0,-0.27891,-1.5855,-1.6204
1.1043,1.4895,0,-0.27891,-1.5625,-1.6204
1.1136,1.5407,0,-0.27891,-1.5395,-1.6204
1.1231,1.5937,0,-0.27891,-1.5165,-1.6204
1.1323,1.6469,0,-0.27891,-1.4936,-1.6204
1.141,1.6984,0,-0.27891,-1.4706,-1.6204
1.1489,1.7458,0,-0.27891,-1.4476,-1.6204
1.1557,1.7875,0,-0.27891,-1.4246,-1.6204
