Intensity,E4,Composition,Points:0,Points:1,Points:2
0.70926,0.25306,0,-0.10379,-0.054904,-0.51709
0.70897,0.25265,0,-0.10379,-0.04707,-0.51709
0.70907,0.2528,0,-0.10379,-0.039236,-0.51709
0.70948,0.2534,0,-0.10379,-0.031402,-0.51709
0.71011,0.25431,0,-0.10379,-0.023567,-0.51709
0.71087,0.25542,0,-0.10379,-0.015733,-0.51709
0.71168,0.25662,0,-0.10379,-0.0078992,-0.51709
0.71247,0.25778,0,-0.10379,-0.0000651,-0.51709
0.71316,0.25881,0,-0.10379,0.007769,-0.51709
0.71369,0.25961,0,-0.10379,0.015603,-0.51709
0.71402,0.26012,0,-0.10379,0.023437,-0.51709
0.7141,0.26026,0,-0.10379,0.031271,-0.51709
0.7139,0.25999,0,-0.10379,0.039106,-0.51709
0.71341,0.25929,0,-0.10379,0.04694,-0.51709
0.71262,0.25815,0,-0.10379,0.054774,-0.51709
0.71153,0.25659,0,-0.10379,0.062608,-0.51709
0.71017,0.25463,0,-0.10379,0.070442,-0.51709
0.70856,0.25233,0,-0.10379,0.078276,-0.51709
0.70673,0.24974,0,-0.10379,0.08611,-0.51709
0.70474,0.24693,0,-0.10379,0.093944,-0.51709
0.70264,0.24398,0,-0.10379,0.10178,-0.51709
0.70048,0.24097,0,-0.10379,0.10961,-0.51709
0.69832,0.238,0,-0.10379,0.11745,-0.51709
0.69623,0.23515,0,-0.10379,0.12528,-0.51709
0.69428,0.2325,0,-0.10379,0.13311,-0.51709
0.69252,0.23013,0,-0.10379,0.14095,-0.51709
0.69102,0.22813,0,-0.10379,0.14878,-0.51709
0.68984,0.22655,0,-0.10379,0.15662,-0.51709
0.68902,0.22545,0,-0.10379,0.16445,-0.51709
0.68861,0.2249,0,-0.10379,0.17229,-0.51709
0.68864,0.22493,0,-0.10379,0.18012,-0.51709
0.68915,0.22558,0,-0.10379,0.18795,-0.51709
0.69016,0.22689,0,-0.10379,0.19579,-0.51709
0.69167,0.22888,0,-0.10379,0.20362,-0.51709
0.69369,0.23156,0,-0.10379,0.21146,-0.51709
0.69622,0.23495,0,-0.10379,0.21929,-0.51709
0.69925,0.23907,0,-0.10379,0.22712,-0.51709
0.70276,0.24392,0,-0.10379,0.23496,-0.51709
0.70675,0.2495,0,-0.10379,0.24279,-0.51709
0.71118,0.25583,0,-0.10379,0.25063,-0.51709
0.71604,0.26291,0,-0.10379,0.25846,-0.51709
0.72131,0.27074,0,-0.10379,0.2663,-0.51709
0.72697,0.27934,0,-0.10379,0.27413,-0.51709
0.73299,0.28873,0,-0.10379,0.28196,-0.51709
0.73937,0.29892,0,-0.10379,0.2898,-0.51709
0.74609,0.30995,0,-0.10379,0.29763,-0.51709
0.75315,0.32184,0,-0.10379,0.30547,-0.51709
0.76053,0.33466,0,-0.10379,0.3133,-0.51709
0.76825,0.34845,0,-0.10379,0.32113,-0.51709
0.77629,0.36328,0,-0.10379,0.32897,-0.51709
0.78467,0.37923,0,-0.10379,0.3368,-0.51709
0.7934,0.39638,0,-0.10379,0.34464,-0.51709
0.80249,0.41485,0,-0.10379,0.35247,-0.51709
0.81194,0.43474,0,-0.10379,0.3603,-0.51709
0.82177,0.45617,0,-0.10379,0.36814,-0.51709
0.832,0.47928,0,-0.10379,0.37597,-0.51709
0.84261,0.5042,0,-0.10379,0.38381,-0.51709
0.85361,0.53103,0,-0.10379,0.39164,-0.51709
0.86497,0.55983,0,-0.10379,0.39948,-0.51709
0.8766,0.59053,0,-0.10379,0.40731,-0.51709
0.88834,0.62281,0,-0.10379,0.41514,-0.51709
0.89995,0.65598,0,-0.10379,0.42298,-0.51709
0.91105,0.68892,0,-0.10379,0.43081,-0.51709
0.92122,0.7202,0,-0.10379,0.43865,-0.51709
0.93013,0.74848,0,-0.10379,0.44648,-0.51709
0.9376,0.77281,0,-0.10379,0.45431,-0.51709
0.94359,0.79276,0,-0.10379,0.46215,-0.51709
0.9482,0.80837,0,-0.10379,0.46998,-0.51709
0.95162,0.8201,0,-0.10379,0.47782,-0.51709
0.95413,0.82881,0,-0.10379,0.48565,-0.51709
0.95607,0.83558,0,-0.10379,0.49348,-0.51709
