Intensity,E4,Composition,Points:0,Points:1,Points:2,Run-Aver-E4,Conv-Gauss
1.0972,1.4497,0,-0.10379,-0.45444,-0.51709,0.43664,6.89844
1.0956,1.441,0,-0.10379,-0.44661,-0.51709,0.439113,6.95794
1.0941,1.4336,0,-0.10379,-0.43878,-0.51709,0.441902,7.01718
1.0925,1.4251,0,-0.10379,-0.43094,-0.51709,0.445,7.0762
1.0903,1.4134,0,-0.10379,-0.42311,-0.51709,0.448398,7.13483
1.0871,1.3969,0,-0.10379,-0.41527,-0.51709,0.452166,7.1932
1.0828,1.375,0,-0.10379,-0.40744,-0.51709,0.456221,7.25113
1.0775,1.348,0,-0.10379,-0.39961,-0.51709,0.460562,7.30868
1.0711,1.3167,0,-0.10379,-0.39177,-0.51709,0.465196,7.36589
1.064,1.2819,0,-0.10379,-0.38394,-0.51709,0.470219,7.42258
1.0561,1.2445,0,-0.10379,-0.3761,-0.51709,0.475594,7.47889
1.0477,1.2054,0,-0.10379,-0.36827,-0.51709,0.481402,7.53464
1.0389,1.1651,0,-0.10379,-0.36043,-0.51709,0.487819,7.58995
1.0296,1.1242,0,-0.10379,-0.3526,-0.51709,0.494933,7.64464
1.0201,1.0832,0,-0.10379,-0.34477,-0.51709,0.502969,7.69878
1.0103,1.0425,0,-0.10379,-0.33693,-0.51709,0.512305,7.75239
1.0004,1.0022,0,-0.10379,-0.3291,-0.51709,0.523258,7.80532
0.99035,0.96251,0,-0.10379,-0.32126,-0.51709,0.536372,7.85768
0.98019,0.92366,0,-0.10379,-0.31343,-0.51709,0.552144,7.9093
0.96994,0.88568,0,-0.10379,-0.3056,-0.51709,0.571281,7.96023
0.95961,0.84862,0,-0.10379,-0.29776,-0.51709,0.594219,8.01051
0.94922,0.8125,0,-0.10379,-0.28993,-0.51709,0.621328,8.05998
0.93876,0.77732,0,-0.10379,-0.28209,-0.51709,0.652513,8.10875
0.92823,0.74308,0,-0.10379,-0.27426,-0.51709,0.687256,8.15666
0.91763,0.70978,0,-0.10379,-0.26643,-0.51709,0.724953,8.20376
0.90697,0.6774,0,-0.10379,-0.25859,-0.51709,0.764394,8.25007
0.89624,0.64595,0,-0.10379,-0.25076,-0.51709,0.804904,8.29545
0.88545,0.61545,0,-0.10379,-0.24292,-0.51709,0.846535,8.34
0.87461,0.58591,0,-0.10379,-0.23509,-0.51709,0.890223,8.38358
0.86375,0.55737,0,-0.10379,-0.22725,-0.51709,0.937359,8.42628
0.85288,0.52986,0,-0.10379,-0.21942,-0.51709,0.990649,8.46796
